GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0009791	P	post-embryonic development	118	2789	705	37767	2.7e-14	1.1e-10	// AT1G65620 // AT5G42190 // AT5G55300 // AT3G26810 // AT2G41280 // AT1G49040 // AT1G63700 // AT1G34430 // AT3G08850 // AT2G21650 // AT1G26260 // AT1G56200 // AT4G00020 // AT3G07430 // AT1G20900 // AT2G14210 // AT2G27380 // AT1G47485 // AT4G10760 // AT4G18010 // AT1G01470 // AT2G27300 // AT5G43070 // AT3G18290 // AT1G48850 // AT3G28860 // AT3G61630 // AT3G01610 // AT1G30330 // AT5G05690 // AT4G04885 // AT2G38120 // AT2G42200 // AT2G01200 // AT3G07650 // AT4G27630 // AT5G42820 // AT2G18340 // AT1G69770 // AT1G21970 // AT4G04890 // AT1G69935 // AT1G52150 // AT4G29660 // AT2G25660 // AT4G09980 // AT5G09810 // AT4G36600 // AT2G14680 // AT3G02380 // AT3G61140 // AT1G25560 // AT4G13940 // AT3G24440 // AT2G26890 // AT2G15790 // AT1G30490 // AT1G43850 // AT2G20180 // AT1G43710 // AT4G01500 // AT5G37510 // AT5G14070 // AT1G55180 // AT3G50330 // AT5G27540 // AT2G34900 // AT5G57360 // AT5G23320 // AT2G40170 // AT1G07890 // AT1G22920 // AT3G49670 // AT5G39550 // AT1G53700 // AT3G48110 // AT1G25310 // AT2G41370 // AT4G29830 // AT3G18715 // AT5G23880 // AT1G13400 // AT3G49240 // AT3G51840 // AT2G45190 // AT4G10560 // AT2G30920 // AT3G23130 // AT5G64390 // AT3G26640 // AT3G33520 // AT3G20440 // AT2G28550 // AT3G42960 // AT5G37770 // AT2G29090 // AT5G53290 // AT3G47620 // AT1G12980 // AT4G28520 // AT5G23570 // AT5G44310 // AT5G56280 // AT3G48430 // AT2G34570 // AT5G53210 // AT2G46770 // AT1G68480 // AT2G01570 // AT1G68050 // AT2G02820 // AT5G22800 // AT5G03680 // AT1G60220 // AT4G13345 // AT5G49450 // AT2G22870 // AT1G13260 
GO:0010876	P	lipid localization	21	2789	24	37767	2.7e-13	5.4e-10	// AT4G08530 // AT1G36150 // AT5G38180 // AT5G61610 // AT1G31812 // AT1G62510 // AT2G10940 // AT5G55460 // AT4G12480 // AT1G43666 // AT4G15160 // AT3G22142 // AT5G38197 // AT4G12500 // AT2G13820 // AT3G29152 // AT1G12090 // AT1G54280 // AT1G64235 // AT4G22490 // AT4G12470 
GO:0050896	P	response to stimulus	405	2789	4057	37767	1.8e-09	2.5e-06	// AT5G49730 // AT3G50950 // AT4G24275 // AT4G33000 // AT2G24200 // AT1G23740 // AT4G17380 // AT5G09800 // AT2G35940 // AT1G35537 // AT4G29140 // AT2G44240 // AT5G47370 // AT5G48655 // AT2G14210 // AT2G26740 // AT1G20510 // AT2G39940 // AT1G45145 // AT2G40880 // AT2G30770 // AT3G32980 // AT5G54250 // AT5G40820 // AT2G15170 // AT4G12410 // AT3G26490 // AT5G46270 // AT2G38120 // AT1G66100 // AT1G34000 // AT3G07650 // AT3G27831 // AT4G08780 // AT3G60240 // AT5G42820 // AT2G21220 // AT1G69935 // AT1G27760 // AT2G13790 // AT1G11210 // AT5G37500 // AT5G09810 // AT2G40460 // AT1G59750 // AT5G37370 // AT5G20630 // AT4G29110 // AT3G24440 // AT2G31320 // AT5G44050 // AT2G28085 // AT5G35410 // AT1G31812 // AT2G18960 // AT3G48990 // AT5G27780 // AT5G20820 // AT5G57360 // AT4G17070 // AT4G22300 // AT1G42990 // AT2G43510 // AT1G22920 // AT5G66400 // AT2G04550 // AT5G43740 // AT4G21480 // AT2G19940 // AT2G39200 // AT5G46330 // AT4G13920 // AT2G18060 // AT2G23290 // AT3G50830 // AT5G41740 // AT1G08550 // AT1G56650 // AT4G34131 // AT4G13350 // AT4G02380 // AT3G24900 // AT5G40910 // AT3G04220 // AT2G01940 // AT1G12980 // AT1G05010 // AT4G24190 // AT3G27280 // AT3G56400 // AT2G01570 // AT2G29120 // AT1G77760 // AT4G16780 // AT5G27600 // AT4G16890 // AT5G03680 // AT1G30440 // AT1G29420 // AT4G38860 // AT3G46600 // AT3G23050 // AT5G45260 // AT5G50720 // AT3G48040 // AT3G05660 // AT3G12490 // AT2G37330 // AT1G58200 // AT3G28930 // AT2G26690 // AT3G16360 // AT1G63360 // AT4G15215 // AT2G18980 // AT1G58848 // AT4G18010 // AT2G04450 // AT2G24040 // AT4G21830 // AT1G71040 // AT4G17230 // AT3G15540 // AT2G11810 // AT1G51980 // AT1G44170 // AT1G24100 // AT3G32920 // AT3G49120 // AT2G27300 // AT2G23680 // AT3G45290 // AT3G21770 // AT5G64750 // AT4G24400 // AT2G41380 // AT1G34670 // AT3G19850 // AT5G27830 // AT2G14560 // AT1G66340 // AT4G12670 // AT1G02820 // AT4G13810 // AT3G01500 // AT5G56550 // AT5G23570 // AT3G20475 // AT2G30870 // AT5G56280 // AT5G59080 // AT5G47240 // AT5G43750 // AT5G26240 // AT3G17390 // AT2G26890 // AT4G08900 // AT3G23150 // AT5G46860 // AT3G12750 // AT1G56520 // AT5G12330 // AT5G37510 // AT2G17260 // AT1G55180 // AT1G32450 // AT1G09780 // AT4G27750 // AT4G14560 // AT4G32650 // AT4G04220 // AT1G52770 // AT2G22810 // AT1G68050 // AT3G04720 // AT1G76690 // AT3G50020 // AT4G16940 // AT1G49300 // AT3G26640 // AT2G16060 // AT1G65870 // AT1G47510 // AT1G30870 // AT5G22300 // AT3G16857 // AT2G23320 // AT5G28530 // AT4G28520 // AT3G50480 // AT5G52050 // AT2G23960 // AT5G26660 // AT5G58670 // AT5G20990 // AT4G09600 // AT2G17860 // AT4G00730 // AT4G24180 // AT2G14900 // AT1G21610 // AT5G63790 // AT5G61900 // AT4G22620 // AT1G63870 // AT5G24120 // AT3G52880 // AT5G53750 // AT5G16970 // AT4G38670 // AT1G20900 // AT3G17070 // AT2G23620 // AT2G02950 // AT1G67280 // AT5G42980 // AT3G26810 // AT4G35480 // AT4G19030 // AT5G46910 // AT1G49980 // AT2G20340 // AT3G56860 // AT1G58602 // AT1G74100 // AT2G47180 // AT1G56510 // AT5G04190 // AT1G58170 // AT5G24620 // AT5G40100 // AT2G22140 // AT5G05690 // AT2G15970 // AT4G35390 // AT3G29350 // AT4G32410 // AT1G72900 // AT1G06160 // AT2G38330 // AT5G07690 // AT3G49110 // AT3G58490 // AT4G29210 // AT2G14170 // AT4G16990 // AT3G53250 // AT3G44350 // AT1G13930 // AT1G23300 // AT1G47540 // AT1G43160 // AT1G33100 // AT1G63350 // AT3G10520 // AT3G61140 // AT4G17500 // AT3G23560 // AT5G28540 // AT1G31540 // AT3G48900 // AT5G50350 // AT1G80760 // AT3G21690 // AT2G26710 // AT5G15960 // AT5G38420 // AT3G03250 // AT4G12480 // AT2G15130 // AT1G80030 // AT4G36020 // AT1G65060 // AT3G24320 // AT1G33960 // AT1G20090 // AT5G24270 // AT1G07890 // AT1G21250 // AT5G04530 // AT4G04780 // AT1G57670 // AT4G19530 // AT2G24720 // AT2G19480 // AT1G53700 // AT3G59900 // AT4G15910 // AT2G27190 // AT4G16270 // AT1G58220 // AT5G37770 // AT1G24010 // AT1G17380 // AT2G21800 // AT2G05520 // AT4G10310 // AT5G14130 // AT5G20270 // AT4G01250 // AT1G57850 // AT5G12860 // AT1G66760 // AT2G36490 // AT2G34600 // AT3G45860 // AT1G71695 // AT1G72930 // AT2G17750 // AT3G12360 // AT5G49520 // AT5G56860 // AT4G28556 // AT3G20310 // AT3G30842 // AT1G47370 // AT2G20990 // AT2G21490 // AT1G59620 // AT2G26010 // AT5G50915 // AT5G38280 // AT2G26980 // AT1G52200 // AT3G25070 // AT2G29100 // AT1G01470 // AT1G57630 // AT2G05710 // AT1G44575 // AT1G18570 // AT1G22640 // AT4G12470 // AT5G26220 // AT3G28860 // AT2G24210 // AT5G25190 // AT1G30330 // AT1G19570 // AT2G14960 // AT3G48430 // AT2G01200 // AT2G20370 // AT2G42530 // AT1G58340 // AT1G59218 // AT3G28740 // AT1G59740 // AT2G31230 // AT4G27630 // AT5G40440 // AT1G29450 // AT3G55230 // AT2G21340 // AT4G32810 // AT1G03230 // AT5G45210 // AT5G05580 // AT4G17690 // AT4G15480 // AT5G65310 // AT1G25560 // AT4G19690 // AT5G44200 // AT2G05100 // AT3G47340 // AT2G14540 // AT2G20180 // AT2G15560 // AT1G26945 // AT2G17660 // AT2G39010 // AT3G23550 // AT4G21070 // AT4G02260 // AT3G43300 // AT3G16530 // AT5G23320 // AT2G40170 // AT3G49960 // AT4G23600 // AT3G23250 // AT1G51950 // AT1G35680 // AT3G26590 // AT4G00710 // AT1G30270 // AT2G17800 // AT4G05530 // AT5G45000 // AT2G29090 // AT1G62630 // AT1G71880 // AT3G47620 // AT4G19520 // AT1G42970 // AT2G14610 // AT5G16910 // AT1G37130 // AT1G11310 // AT1G76570 // AT1G45249 // AT1G35720 // AT1G60220 // AT1G13260 
GO:0042221	P	response to chemical stimulus	209	2789	2085	37767	1.7e-05	0.017	// AT5G49520 // AT4G09600 // AT1G29420 // AT1G06160 // AT3G20310 // AT3G46600 // AT2G14900 // AT2G14610 // AT3G23050 // AT2G26710 // AT5G50720 // AT5G63790 // AT5G61900 // AT4G22620 // AT3G30842 // AT3G48040 // AT4G15910 // AT2G37330 // AT4G19030 // AT2G18980 // AT2G21490 // AT2G35940 // AT4G29140 // AT3G16360 // AT2G44240 // AT5G27830 // AT4G21830 // AT4G15215 // AT5G48655 // AT2G14210 // AT5G50915 // AT2G24200 // AT2G26740 // AT3G26810 // AT4G18010 // AT4G35480 // AT2G26980 // AT5G46910 // AT1G52200 // AT5G22300 // AT3G25070 // AT2G39940 // AT1G45145 // AT1G01470 // AT3G56860 // AT5G52050 // AT3G15540 // AT1G21250 // AT1G74100 // AT2G47180 // AT1G18570 // AT5G40820 // AT1G44170 // AT5G26220 // AT3G28860 // AT2G23320 // AT4G12410 // AT3G21770 // AT2G24210 // AT5G64750 // AT5G25190 // AT1G30330 // AT2G15970 // AT1G19570 // AT4G35390 // AT2G38120 // AT2G41380 // AT2G01200 // AT3G52880 // AT2G20370 // AT2G31230 // AT5G09800 // AT2G14560 // AT4G38860 // AT4G29210 // AT2G38330 // AT4G12670 // AT5G07690 // AT3G58490 // AT4G27630 // AT4G08780 // AT5G40440 // AT1G29450 // AT3G53250 // AT5G56550 // AT3G44350 // AT4G01250 // AT1G22640 // AT2G21220 // AT1G13930 // AT2G30870 // AT4G32810 // AT2G13790 // AT1G23300 // AT1G11210 // AT5G59080 // AT5G37500 // AT5G09810 // AT5G43750 // AT4G17690 // AT1G59750 // AT3G10520 // AT5G56860 // AT4G29110 // AT4G17500 // AT5G65310 // AT5G26240 // AT3G23560 // AT5G28540 // AT2G31320 // AT5G44200 // AT5G44050 // AT2G28085 // AT5G47370 // AT5G42980 // AT1G34670 // AT5G50350 // AT3G23150 // AT1G80760 // AT3G21690 // AT5G12330 // AT5G15960 // AT2G20180 // AT2G18960 // AT3G12750 // AT2G15560 // AT5G37510 // AT2G17660 // AT1G32450 // AT1G09780 // AT4G23600 // AT3G23550 // AT3G48990 // AT4G27750 // AT2G21340 // AT5G27780 // AT5G20820 // AT1G66340 // AT4G14560 // AT3G16530 // AT5G23320 // AT4G17070 // AT2G26690 // AT5G16970 // AT1G42990 // AT1G49300 // AT2G40170 // AT5G24270 // AT1G07890 // AT1G22920 // AT5G66400 // AT2G04550 // AT2G22810 // AT3G23250 // AT3G04720 // AT2G23290 // AT2G19940 // AT3G29350 // AT1G51950 // AT3G26590 // AT4G00710 // AT4G24400 // AT1G30270 // AT4G17230 // AT2G18060 // AT2G05710 // AT3G59900 // AT2G17800 // AT2G14170 // AT4G05530 // AT2G16060 // AT1G71695 // AT3G32980 // AT4G16890 // AT1G47510 // AT1G56650 // AT1G58220 // AT1G30870 // AT5G37770 // AT1G17380 // AT4G02380 // AT3G16857 // AT2G05520 // AT5G14130 // AT3G47620 // AT1G12980 // AT2G14960 // AT4G28520 // AT5G20270 // AT1G33100 // AT1G42970 // AT5G23570 // AT4G24190 // AT3G48430 // AT3G56400 // AT3G17070 // AT3G47340 // AT4G16270 // AT2G01570 // AT4G16780 // AT2G34600 // AT5G27600 // AT5G58670 // AT1G45249 // AT1G35720 // AT5G03680 // AT5G20990 // AT3G49960 // AT1G13260 
GO:0009886	P	post-embryonic morphogenesis	12	2789	35	37767	5.9e-05	0.047	// AT3G50330 // AT2G38120 // AT1G63700 // AT2G41370 // AT1G22920 // AT2G02820 // AT5G03680 // AT5G55300 // AT5G64390 // AT3G23130 // AT1G68480 // AT1G49040 
GO:0006950	P	response to stress	223	2789	2320	37767	9.6e-05	0.064	// AT3G50950 // AT1G06160 // AT3G20310 // AT4G24275 // AT2G30770 // AT4G33000 // AT2G14610 // AT1G21610 // AT3G23050 // AT5G45260 // AT5G50720 // AT5G63790 // AT5G61900 // AT1G63870 // AT2G26690 // AT1G23740 // AT2G42530 // AT4G17380 // AT1G47370 // AT4G15910 // AT2G20990 // AT5G53750 // AT1G58200 // AT2G21490 // AT4G22300 // AT1G35537 // AT2G44240 // AT1G59620 // AT5G27830 // AT1G63360 // AT4G21830 // AT2G26010 // AT3G28740 // AT3G17070 // AT2G23620 // AT2G26740 // AT1G67280 // AT1G20510 // AT1G58848 // AT2G24040 // AT5G24270 // AT1G52200 // AT1G49980 // AT1G71040 // AT3G25070 // AT2G39940 // AT1G45145 // AT1G01470 // AT1G57630 // AT2G05710 // AT2G11810 // AT1G51980 // AT1G58602 // AT3G32980 // AT2G47180 // AT5G54250 // AT1G56510 // AT5G40820 // AT4G12470 // AT1G44170 // AT2G20340 // AT1G24100 // AT3G32920 // AT5G07690 // AT3G49120 // AT2G27300 // AT2G15170 // AT1G58170 // AT2G23680 // AT3G45290 // AT5G40100 // AT2G24210 // AT2G22140 // AT5G46270 // AT2G15970 // AT3G48900 // AT1G31540 // AT4G32410 // AT1G72900 // AT3G52880 // AT1G66100 // AT1G59218 // AT2G14560 // AT1G66340 // AT3G23250 // AT2G14170 // AT1G02820 // AT3G49110 // AT3G27831 // AT4G08780 // AT4G16990 // AT4G13810 // AT3G01500 // AT1G18570 // AT5G56550 // AT2G15560 // AT1G22640 // AT3G20475 // AT2G30870 // AT1G03230 // AT1G27760 // AT1G11210 // AT1G47540 // AT1G43160 // AT5G47240 // AT5G09810 // AT5G15960 // AT4G17690 // AT1G63350 // AT3G56400 // AT5G37370 // AT5G20630 // AT3G61140 // AT3G55230 // AT5G28540 // AT3G24440 // AT2G31320 // AT3G03250 // AT3G17390 // AT2G26890 // AT5G42980 // AT4G08900 // AT5G50350 // AT5G35410 // AT1G31812 // AT2G14540 // AT2G18960 // AT1G57850 // AT1G56520 // AT4G12480 // AT5G37510 // AT2G15130 // AT1G80030 // AT1G55180 // AT1G09780 // AT1G13930 // AT4G21070 // AT1G30270 // AT4G36020 // AT1G65060 // AT3G24320 // AT5G22300 // AT3G43300 // AT4G17070 // AT3G05660 // AT5G16970 // AT1G42990 // AT2G43510 // AT4G04220 // AT1G07890 // AT3G21770 // AT5G66400 // AT5G45210 // AT5G43740 // AT3G45860 // AT4G23600 // AT1G72930 // AT5G04530 // AT3G04720 // AT1G76690 // AT3G50020 // AT4G04780 // AT1G57670 // AT4G19530 // AT5G64750 // AT1G35680 // AT4G16940 // AT2G39200 // AT5G46330 // AT4G13920 // AT1G49300 // AT2G19480 // AT2G23290 // AT5G45000 // AT5G40440 // AT2G16060 // AT1G71695 // AT2G27190 // AT1G65870 // AT4G16270 // AT3G50830 // AT4G16890 // AT5G41740 // AT1G08550 // AT1G56650 // AT1G30870 // AT5G37500 // AT5G37770 // AT1G24010 // AT1G62630 // AT4G02380 // AT3G24900 // AT5G40910 // AT2G21800 // AT2G05520 // AT4G10310 // AT5G14130 // AT3G04220 // AT4G02260 // AT4G19520 // AT1G74100 // AT5G20270 // AT5G43750 // AT1G42970 // AT5G23570 // AT4G24190 // AT3G27280 // AT5G16910 // AT2G18980 // AT3G47340 // AT1G66760 // AT2G01570 // AT2G36490 // AT3G49960 // AT2G23960 // AT5G27600 // AT1G11310 // AT5G58670 // AT1G45249 // AT1G35720 // AT1G60220 // AT5G59080 // AT3G12360 
GO:0032501	P	multicellular organismal process	202	2789	2094	37767	0.00017	0.099	// AT2G02480 // AT1G65620 // AT4G00730 // AT5G42190 // AT5G55300 // AT3G26810 // AT3G23050 // AT2G41280 // AT1G49040 // AT1G63700 // AT1G34430 // AT3G08850 // AT2G21650 // AT4G15910 // AT4G13940 // AT1G56200 // AT5G22130 // AT2G35940 // AT4G00020 // AT2G02820 // AT3G07430 // AT2G13680 // AT1G20900 // AT2G14210 // AT2G02950 // AT1G47485 // AT4G10760 // AT4G05440 // AT4G18010 // AT2G43000 // AT1G71040 // AT2G06510 // AT1G61500 // AT5G09330 // AT1G01470 // AT2G27300 // AT5G43070 // AT3G15540 // AT2G20430 // AT5G22000 // AT3G18290 // AT5G40820 // AT2G31690 // AT1G48850 // AT5G49270 // AT5G04190 // AT3G61590 // AT3G61630 // AT3G01610 // AT2G48120 // AT1G53330 // AT4G04890 // AT1G30330 // AT5G05690 // AT4G04885 // AT4G40090 // AT2G38120 // AT2G42200 // AT5G60970 // AT4G14720 // AT5G63790 // AT3G07650 // AT1G02820 // AT1G72570 // AT4G27630 // AT5G59030 // AT5G42820 // AT2G18340 // AT1G69770 // AT1G23380 // AT1G21970 // AT1G61610 // AT3G44350 // AT1G69935 // AT5G23880 // AT1G52150 // AT5G56280 // AT4G29660 // AT2G25660 // AT1G21170 // AT1G74720 // AT4G09980 // AT2G32550 // AT5G09810 // AT4G36600 // AT4G08150 // AT4G03230 // AT2G14680 // AT1G43850 // AT1G59750 // AT3G02380 // AT3G61140 // AT1G25560 // AT1G48630 // AT1G26260 // AT3G28860 // AT3G24440 // AT4G16750 // AT3G57670 // AT2G26890 // AT2G15790 // AT5G46860 // AT1G43710 // AT2G03720 // AT5G12330 // AT1G30490 // AT1G10270 // AT2G20180 // AT3G51840 // AT4G01500 // AT5G37510 // AT1G65910 // AT5G14070 // AT3G02150 // AT1G55180 // AT4G00100 // AT3G50330 // AT1G65060 // AT2G35060 // AT5G27540 // AT3G44560 // AT4G32810 // AT5G57360 // AT5G23320 // AT2G24430 // AT5G28640 // AT1G20090 // AT3G21640 // AT2G40170 // AT1G07890 // AT1G22920 // AT3G49670 // AT5G37890 // AT5G39550 // AT1G53700 // AT3G48110 // AT1G25310 // AT2G41370 // AT4G29830 // AT3G18715 // AT1G32770 // AT1G13400 // AT3G23130 // AT5G24520 // AT3G47500 // AT3G49240 // AT5G41090 // AT2G45190 // AT3G13672 // AT4G10560 // AT2G30920 // AT3G24225 // AT5G64390 // AT3G26640 // AT3G22400 // AT3G33520 // AT3G20440 // AT2G28550 // AT3G42960 // AT1G43130 // AT2G41260 // AT2G02450 // AT5G03680 // AT5G37770 // AT2G29090 // AT5G22380 // AT4G02380 // AT3G28780 // AT3G16320 // AT3G16857 // AT2G45450 // AT5G53290 // AT3G47620 // AT2G01940 // AT1G12980 // AT3G48140 // AT4G28520 // AT5G23570 // AT5G44310 // AT4G24190 // AT2G31070 // AT3G48430 // AT5G16910 // AT2G34570 // AT5G53210 // AT2G46770 // AT2G22870 // AT2G01570 // AT1G33140 // AT2G29125 // AT4G16780 // AT2G34900 // AT1G68050 // AT1G50240 // AT5G22800 // AT2G27380 // AT1G60220 // AT4G13345 // AT5G49450 // AT1G68480 // AT1G13260 // AT2G01200 
GO:0033036	P	macromolecule localization	58	2789	462	37767	0.00021	0.1	// AT5G53290 // AT3G24350 // AT4G08530 // AT3G01340 // AT5G46330 // AT2G38410 // AT5G25760 // AT5G50920 // AT1G71480 // AT2G26890 // AT1G36150 // AT4G12470 // AT5G17670 // AT4G32640 // AT3G22142 // AT5G61610 // AT1G31812 // AT2G18710 // AT2G10940 // AT5G38197 // AT3G07100 // AT5G55460 // AT4G12480 // AT1G11905 // AT4G27690 // AT1G12090 // AT2G21630 // AT3G07560 // AT5G46860 // AT5G28750 // AT5G05490 // AT1G62510 // AT1G66340 // AT2G13820 // AT4G15160 // AT4G24190 // AT5G24520 // AT1G11250 // AT1G64235 // AT4G22490 // AT3G45280 // AT3G44370 // AT5G58590 // AT2G15290 // AT5G42570 // AT5G50460 // AT1G43666 // AT4G16160 // AT3G61630 // AT2G29530 // AT1G47830 // AT1G65800 // AT4G12500 // AT5G38180 // AT3G29152 // AT1G18570 // AT1G54280 // AT1G24100 
GO:0006952	P	defense response	86	2789	766	37767	0.00025	0.11	// AT3G50950 // AT2G30770 // AT5G45260 // AT5G61900 // AT1G63870 // AT1G47370 // AT3G05660 // AT4G22300 // AT1G35537 // AT1G59620 // AT1G63360 // AT2G26010 // AT1G66340 // AT2G23620 // AT1G58848 // AT3G25070 // AT2G39940 // AT1G45145 // AT1G57630 // AT1G58602 // AT1G74100 // AT5G54250 // AT1G18570 // AT4G12470 // AT1G24100 // AT3G49120 // AT2G15170 // AT1G58170 // AT3G45290 // AT5G40100 // AT5G46270 // AT2G14610 // AT1G72900 // AT1G06160 // AT1G66100 // AT1G59218 // AT2G14560 // AT3G28740 // AT3G49110 // AT3G27831 // AT4G16990 // AT4G13810 // AT5G40440 // AT3G55230 // AT5G45210 // AT1G47540 // AT1G63350 // AT1G31540 // AT5G42980 // AT4G08900 // AT1G56520 // AT4G12480 // AT2G15130 // AT1G65060 // AT3G43300 // AT1G56510 // AT2G43510 // AT4G04220 // AT5G43740 // AT2G23960 // AT3G04720 // AT3G50020 // AT4G04780 // AT1G57670 // AT4G19530 // AT4G16940 // AT2G39200 // AT5G46330 // AT4G13920 // AT5G45000 // AT1G65870 // AT1G72930 // AT5G41740 // AT5G37770 // AT1G24010 // AT1G62630 // AT3G24900 // AT5G40910 // AT3G04220 // AT4G19520 // AT5G23570 // AT1G57850 // AT3G56400 // AT3G45860 // AT1G11310 // AT4G16890 
GO:0007275	P	multicellular organismal development	191	2789	2020	37767	0.00063	0.16	// AT2G02480 // AT1G65620 // AT4G00730 // AT5G42190 // AT5G55300 // AT3G26810 // AT4G40090 // AT2G41280 // AT1G49040 // AT1G63700 // AT1G34430 // AT3G08850 // AT2G21650 // AT4G15910 // AT4G13940 // AT1G56200 // AT5G22130 // AT2G35940 // AT4G00020 // AT2G02820 // AT3G07430 // AT2G13680 // AT1G20900 // AT2G14210 // AT2G27380 // AT1G47485 // AT4G10760 // AT4G05440 // AT4G18010 // AT2G43000 // AT1G71040 // AT2G06510 // AT5G09330 // AT1G01470 // AT2G27300 // AT5G43070 // AT2G20430 // AT5G22000 // AT3G18290 // AT2G31690 // AT1G48850 // AT5G49270 // AT3G28860 // AT3G61590 // AT3G61630 // AT3G01610 // AT2G48120 // AT1G53330 // AT4G04890 // AT1G30330 // AT5G05690 // AT4G04885 // AT2G38120 // AT2G42200 // AT5G60970 // AT4G14720 // AT5G63790 // AT3G07650 // AT1G02820 // AT1G72570 // AT4G27630 // AT5G59030 // AT5G42820 // AT2G18340 // AT1G69770 // AT1G23380 // AT1G21970 // AT3G44350 // AT1G69935 // AT5G23880 // AT1G52150 // AT5G56280 // AT4G29660 // AT2G25660 // AT1G21170 // AT1G74720 // AT4G09980 // AT2G32550 // AT5G09810 // AT4G36600 // AT4G08150 // AT2G14680 // AT1G43850 // AT1G59750 // AT3G02380 // AT3G61140 // AT1G25560 // AT1G48630 // AT1G26260 // AT3G24440 // AT4G16750 // AT3G57670 // AT2G26890 // AT2G15790 // AT1G43710 // AT2G03720 // AT5G12330 // AT1G30490 // AT1G10270 // AT2G20180 // AT3G51840 // AT4G01500 // AT5G37510 // AT1G65910 // AT5G14070 // AT3G02150 // AT1G55180 // AT4G00100 // AT3G50330 // AT1G65060 // AT2G35060 // AT5G27540 // AT3G44560 // AT4G32810 // AT5G57360 // AT5G23320 // AT2G24430 // AT5G28640 // AT1G20090 // AT3G21640 // AT2G40170 // AT1G07890 // AT1G22920 // AT3G49670 // AT5G37890 // AT5G39550 // AT1G53700 // AT3G48110 // AT1G25310 // AT2G41370 // AT4G29830 // AT3G18715 // AT1G32770 // AT1G13400 // AT3G23130 // AT5G24520 // AT3G47500 // AT3G49240 // AT5G41090 // AT2G45190 // AT3G13672 // AT4G10560 // AT2G30920 // AT3G24225 // AT5G64390 // AT3G26640 // AT3G22400 // AT3G33520 // AT3G20440 // AT2G28550 // AT3G42960 // AT1G43130 // AT2G41260 // AT2G02450 // AT5G37770 // AT2G29090 // AT5G22380 // AT4G02380 // AT3G28780 // AT3G16857 // AT2G45450 // AT5G53290 // AT3G47620 // AT1G12980 // AT3G48140 // AT4G28520 // AT5G23570 // AT5G44310 // AT4G24190 // AT2G31070 // AT3G48430 // AT5G16910 // AT2G34570 // AT5G53210 // AT2G46770 // AT2G22870 // AT2G01570 // AT1G33140 // AT2G29125 // AT4G16780 // AT2G34900 // AT1G68050 // AT1G50240 // AT5G22800 // AT5G03680 // AT1G60220 // AT4G13345 // AT5G49450 // AT1G68480 // AT1G13260 // AT2G01200 
