GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0019748	P	secondary metabolic process	35	1158	489	37767	9.4e-06	0.015	// AT1G32640 // AT4G25310 // AT3G44320 // AT2G30770 // AT4G23690 // AT3G45130 // AT1G69920 // AT5G24530 // AT3G19450 // AT5G60890 // AT1G77530 // AT5G63590 // AT5G03690 // AT3G51440 // AT1G66380 // AT1G32100 // AT1G02930 // AT3G25820 // AT5G48000 // AT1G18590 // AT5G42600 // AT4G19230 // AT3G16410 // AT1G74590 // AT5G41210 // AT5G66690 // AT5G26660 // AT5G47990 // AT5G07480 // AT5G01050 // AT3G14440 // AT2G39430 // AT3G11430 // AT3G09270 // AT1G17180 
GO:0051707	P	response to other organism	38	1158	599	37767	4.8e-05	0.026	// AT5G52830 // AT2G15490 // AT5G64250 // AT2G30750 // AT2G39200 // AT1G72140 // AT4G19690 // AT2G30770 // AT5G24530 // AT1G53130 // AT5G38030 // AT1G05800 // AT5G60890 // AT3G50460 // AT3G13100 // AT1G02860 // AT3G09260 // AT1G20840 // AT4G23810 // AT3G06490 // AT2G18150 // AT2G37660 // AT2G23620 // AT5G36970 // AT2G30110 // AT5G57490 // AT3G22942 // AT2G19190 // AT3G01420 // AT1G19250 // AT3G50450 // AT5G06960 // AT2G25000 // AT2G37630 // AT4G39030 // AT2G42010 // AT2G26820 // AT3G04720 
GO:0051704	P	multi-organism process	46	1158	776	37767	3.9e-05	0.026	// AT5G52830 // AT2G15490 // AT5G64250 // AT2G30750 // AT2G39200 // AT1G72140 // AT4G19690 // AT2G30770 // AT5G24530 // AT1G53130 // AT5G38030 // AT1G05800 // AT1G11300 // AT3G50460 // AT1G20640 // AT3G13100 // AT5G65930 // AT1G48620 // AT1G02860 // AT3G09260 // AT1G20840 // AT4G23810 // AT1G61490 // AT3G06490 // AT2G18150 // AT2G37660 // AT2G23620 // AT5G36970 // AT5G53430 // AT2G30110 // AT5G57490 // AT3G22942 // AT2G19190 // AT3G01420 // AT1G19250 // AT3G50450 // AT1G61500 // AT5G06960 // AT2G25000 // AT2G37630 // AT4G39030 // AT1G48020 // AT2G42010 // AT5G60890 // AT2G26820 // AT3G04720 
GO:0009607	P	response to biotic stimulus	39	1158	638	37767	8.1e-05	0.026	// AT5G52830 // AT2G15490 // AT5G64250 // AT2G30750 // AT2G39200 // AT1G72140 // AT4G19690 // AT5G28540 // AT2G30770 // AT5G24530 // AT1G53130 // AT5G38030 // AT1G05800 // AT5G60890 // AT3G50460 // AT3G13100 // AT1G02860 // AT3G09260 // AT1G20840 // AT4G23810 // AT3G06490 // AT2G18150 // AT2G37660 // AT2G23620 // AT5G36970 // AT2G30110 // AT5G57490 // AT3G22942 // AT2G19190 // AT3G01420 // AT1G19250 // AT3G50450 // AT5G06960 // AT2G25000 // AT2G37630 // AT4G39030 // AT2G42010 // AT2G26820 // AT3G04720 
GO:0042398	P	cellular amino acid derivative biosynthetic process	20	1158	233	37767	8e-05	0.026	// AT5G04950 // AT1G32640 // AT2G19070 // AT5G60890 // AT2G36880 // AT1G62380 // AT5G07480 // AT1G77530 // AT5G63590 // AT5G24530 // AT1G70310 // AT5G26660 // AT1G02500 // AT4G23690 // AT2G39430 // AT1G66380 // AT1G32100 // AT3G11430 // AT4G25310 // AT3G19450 
GO:0050896	P	response to stimulus	166	1158	4057	37767	0.00011	0.031	// AT4G23280 // AT5G20570 // AT1G05250 // AT5G45380 // AT3G44320 // AT5G47100 // AT5G52830 // AT2G30770 // AT4G23550 // AT1G62380 // AT5G24530 // AT1G05800 // AT4G37530 // AT1G72840 // AT1G80010 // AT3G11080 // AT1G02860 // AT3G09260 // AT1G04310 // AT4G23810 // AT3G61220 // AT5G44900 // AT1G42560 // AT3G06490 // AT2G04100 // AT2G23620 // AT1G78580 // AT4G19690 // AT2G30110 // AT4G19230 // AT1G70730 // AT5G28540 // AT2G43480 // AT4G08770 // AT5G58960 // AT3G46730 // AT5G38000 // AT2G37630 // AT5G16770 // AT3G32980 // AT5G54250 // AT2G26820 // AT1G62300 // AT5G40770 // AT1G17060 // AT4G37220 // AT1G67100 // AT2G30750 // AT3G07370 // AT1G72060 // AT3G08670 // AT5G18070 // AT2G32460 // AT1G48690 // AT1G53130 // AT3G44400 // AT3G16890 // AT4G14640 // AT4G03280 // AT3G13100 // AT2G47190 // AT4G30170 // AT5G63570 // AT4G39030 // AT3G07650 // AT2G26640 // AT2G37660 // AT3G14440 // AT4G28110 // AT2G19190 // AT3G46710 // AT5G51630 // AT2G33860 // AT3G12830 // AT3G50450 // AT2G19450 // AT5G45210 // AT5G60410 // AT3G09250 // AT1G33100 // AT2G01180 // AT5G06730 // AT1G12244 // AT3G02940 // AT5G25370 // AT2G15490 // AT5G44110 // AT3G50460 // AT1G34370 // AT3G05890 // AT4G23690 // AT1G28290 // AT1G21520 // AT3G23150 // AT1G60490 // AT5G38030 // AT1G74660 // AT5G60890 // AT5G64250 // AT1G71400 // AT2G18960 // AT5G45220 // AT5G63590 // AT1G74650 // AT1G16420 // AT4G37840 // AT1G76930 // AT1G20840 // AT4G39070 // AT5G24070 // AT5G14780 // AT1G01120 // AT3G26490 // AT5G36970 // AT5G57490 // AT1G56010 // AT3G22942 // AT5G57090 // AT4G23440 // AT1G19250 // AT5G13300 // AT2G25000 // AT2G35930 // AT4G37580 // AT1G02930 // AT1G57560 // AT3G04720 // AT3G16460 // AT3G19290 // AT5G45080 // AT2G24720 // AT1G32640 // AT2G39200 // AT5G23540 // AT1G72140 // AT5G24380 // AT5G67450 // AT1G71870 // AT5G37780 // AT2G20000 // AT5G16510 // AT1G13430 // AT5G48850 // AT2G36210 // AT2G17055 // AT4G33020 // AT5G13420 // AT1G04250 // AT1G66380 // AT1G73700 // AT1G30870 // AT5G45090 // AT4G27670 // AT4G26560 // AT2G18150 // AT1G12110 // AT3G16450 // AT3G01420 // AT1G77760 // AT5G26660 // AT5G06960 // AT5G51760 // AT1G43040 // AT3G11410 // AT2G42010 // AT4G10380 
GO:0006575	P	cellular amino acid derivative metabolic process	23	1158	315	37767	0.00023	0.054	// AT1G02500 // AT1G32640 // AT4G25310 // AT4G23690 // AT1G77530 // AT5G24530 // AT3G19450 // AT1G62380 // AT5G60890 // AT5G04950 // AT5G63590 // AT1G70310 // AT1G66380 // AT1G32100 // AT2G19070 // AT2G36880 // AT5G66690 // AT4G39180 // AT5G01050 // AT5G07480 // AT5G26660 // AT2G39430 // AT3G11430 
GO:0050794	P	regulation of cellular process	139	1158	3375	37767	0.00034	0.061	// AT3G10470 // AT2G39880 // AT3G09370 // AT5G15830 // AT5G52830 // AT4G04450 // AT4G23550 // AT4G01920 // AT4G25400 // AT4G02190 // AT3G44400 // AT1G05800 // AT2G28200 // AT2G40740 // AT5G26900 // AT1G72840 // AT3G11080 // AT4G17785 // AT1G02860 // AT1G04310 // AT4G23810 // AT4G28811 // AT5G44900 // AT1G04250 // AT3G06490 // AT4G37580 // AT1G24625 // AT4G14980 // AT1G78580 // AT3G11580 // AT5G44160 // AT2G32370 // AT4G13480 // AT4G28380 // AT1G58190 // AT4G22140 // AT2G37630 // AT5G43175 // AT1G61660 // AT5G61070 // AT4G01925 // AT1G53230 // AT1G47885 // AT4G12090 // AT5G54030 // AT2G32460 // AT3G51960 // AT1G53130 // AT2G21230 // AT5G22990 // AT5G26630 // AT5G44770 // AT5G03150 // AT5G06839 // AT1G25340 // AT3G07650 // AT4G22680 // AT3G28850 // AT4G38340 // AT2G01905 // AT1G63245 // AT5G61890 // AT4G28110 // AT2G22770 // AT5G51630 // AT2G33860 // AT2G24260 // AT1G74080 // AT3G14270 // AT5G45210 // AT5G60410 // AT1G30950 // AT2G14760 // AT5G22355 // AT1G74650 // AT3G02940 // AT1G30650 // AT1G34370 // AT3G60390 // AT2G31085 // AT3G23150 // AT2G37120 // AT4G16350 // AT5G17800 // AT5G02430 // AT1G71400 // AT2G18960 // AT5G45220 // AT2G46810 // AT1G29860 // AT1G20700 // AT3G25905 // AT1G68800 // AT1G66230 // AT4G39070 // AT3G25800 // AT2G22200 // AT5G63900 // AT1G56010 // AT5G56260 // AT5G64810 // AT1G27740 // AT4G23440 // AT1G19250 // AT5G51290 // AT2G25000 // AT5G52170 // AT5G43030 // AT2G42660 // AT1G57560 // AT2G38090 // AT4G37850 // AT1G17310 // AT3G19290 // AT4G17810 // AT3G27480 // AT1G32640 // AT4G28815 // AT4G35610 // AT2G20000 // AT3G21270 // AT4G14640 // AT5G11590 // AT5G43040 // AT1G65180 // AT1G61040 // AT1G66380 // AT5G16770 // AT1G62300 // AT1G17240 // AT4G32890 // AT5G36970 // AT5G06960 // AT3G63120 // AT3G11410 // AT3G57680 // AT2G17055 // AT5G15150 // AT5G53430 
GO:0042221	P	response to chemical stimulus	93	1158	2085	37767	0.00032	0.061	// AT5G20570 // AT5G47100 // AT5G52830 // AT2G37630 // AT4G23550 // AT1G62380 // AT1G30870 // AT1G02860 // AT1G04310 // AT4G23810 // AT1G13430 // AT1G04250 // AT3G06490 // AT2G04100 // AT1G78580 // AT1G05250 // AT1G70730 // AT2G43480 // AT4G08770 // AT5G13300 // AT1G73700 // AT3G32980 // AT5G40770 // AT4G37220 // AT1G67100 // AT3G07370 // AT1G72060 // AT3G08670 // AT2G32460 // AT1G48690 // AT1G53130 // AT3G16890 // AT4G14640 // AT2G47190 // AT4G30170 // AT1G57560 // AT3G14440 // AT4G28110 // AT2G33860 // AT3G12830 // AT2G19450 // AT5G60410 // AT1G33100 // AT5G06730 // AT3G02940 // AT5G25370 // AT5G28540 // AT1G34370 // AT1G28290 // AT3G23150 // AT5G60890 // AT5G64250 // AT2G18960 // AT1G74650 // AT1G16420 // AT4G37840 // AT1G76930 // AT1G02930 // AT4G39070 // AT5G24070 // AT5G36970 // AT1G56010 // AT5G57090 // AT4G37580 // AT5G38000 // AT2G25000 // AT2G35930 // AT1G74660 // AT3G04720 // AT3G19290 // AT1G32640 // AT5G24380 // AT5G67450 // AT1G71870 // AT5G37780 // AT2G20000 // AT2G36210 // AT4G33020 // AT5G13420 // AT1G66380 // AT5G16770 // AT1G62300 // AT4G27670 // AT4G26560 // AT2G18150 // AT1G12110 // AT3G01420 // AT5G06960 // AT5G51760 // AT1G43040 // AT3G11410 // AT1G21520 // AT4G10380 
GO:0006725	P	cellular aromatic compound metabolic process	26	1158	399	37767	0.00049	0.079	// AT1G02500 // AT1G32640 // AT4G25310 // AT2G30770 // AT4G23690 // AT3G63110 // AT5G24530 // AT1G53130 // AT3G19450 // AT5G60890 // AT1G77530 // AT5G63590 // AT1G66380 // AT1G32100 // AT4G12440 // AT2G36880 // AT1G12050 // AT2G23620 // AT5G66690 // AT5G26660 // AT1G02860 // AT5G07480 // AT5G01050 // AT4G39030 // AT2G39430 // AT3G11430 
