GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0010876	P	lipid localization	12	1501	24	37767	5e-09	1.2e-05	// AT2G38530 // AT1G48750 // AT3G08770 // AT2G38540 // AT5G61610 // AT5G48490 // AT1G27950 // AT5G27630 // AT5G38195 // AT3G18280 // AT1G12100 // AT1G68710 
GO:0009791	P	post-embryonic development	55	1501	705	37767	5.7e-06	0.0068	// AT5G10360 // AT5G43070 // AT5G49360 // AT5G23260 // AT3G23130 // AT5G51810 // AT2G35700 // AT1G30330 // AT2G18650 // AT3G54350 // AT3G20400 // AT4G25420 // AT2G46870 // AT3G18110 // AT5G67570 // AT1G73590 // AT2G19520 // AT1G69180 // AT1G23420 // AT2G41850 // AT5G67060 // AT2G43410 // AT5G65420 // AT2G33880 // AT3G07650 // AT1G09530 // AT5G13480 // AT5G45710 // AT4G20910 // AT1G67260 // AT5G62990 // AT5G07280 // AT3G05680 // AT3G17520 // AT2G44810 // AT5G37020 // AT1G65480 // AT2G46770 // AT4G32540 // AT2G01500 // AT2G35340 // AT3G04610 // AT2G26330 // AT1G22920 // AT3G62670 // AT3G55370 // AT3G58780 // AT4G00310 // AT4G15900 // AT2G28290 // AT2G42830 // AT1G09540 // AT5G23670 // AT1G03120 // AT2G21540 
GO:0019748	P	secondary metabolic process	40	1501	489	37767	4e-05	0.031	// AT1G16410 // AT1G78390 // AT1G62540 // AT4G10490 // AT1G65880 // AT3G46490 // AT3G19710 // AT1G16400 // AT3G45130 // AT5G35550 // AT1G78570 // AT2G37040 // AT4G25420 // AT1G50960 // AT5G23960 // AT1G56650 // AT1G78960 // AT2G47730 // AT1G72680 // AT5G35790 // AT1G09530 // AT2G47460 // AT1G30100 // AT5G17230 // AT2G46770 // AT5G17220 // AT4G12030 // AT5G07990 // AT5G51810 // AT5G58860 // AT1G30040 // AT4G30210 // AT1G54040 // AT4G32810 // AT1G05160 // AT3G29590 // AT5G25900 // AT1G62560 // AT1G09490 // AT4G34850 
GO:0010556	P	regulation of macromolecule biosynthetic process	105	1501	1843	37767	0.00026	0.073	// AT5G06650 // AT2G35700 // AT5G58080 // AT5G53200 // AT2G18550 // AT5G66320 // AT2G40620 // AT2G28200 // AT2G43410 // AT1G26590 // AT5G65590 // AT3G06490 // AT5G18450 // AT1G50420 // AT1G53320 // AT2G21320 // AT1G70920 // AT5G53430 // AT4G36740 // AT4G15900 // AT5G62470 // AT5G36740 // AT1G63210 // AT1G20910 // AT5G45600 // AT3G13810 // AT3G01530 // AT1G24190 // AT1G30330 // AT5G37020 // AT1G34650 // AT1G69180 // AT5G57520 // AT5G06250 // AT3G07650 // AT2G47460 // AT1G72570 // AT3G45610 // AT1G09540 // AT1G04370 // AT1G07640 // AT5G54630 // AT1G68200 // AT5G09460 // AT5G03790 // AT3G44350 // AT1G50640 // AT1G79430 // AT4G35700 // AT5G03415 // AT2G41900 // AT1G68360 // AT4G27240 // AT1G01250 // AT2G42830 // AT5G39230 // AT5G36670 // AT5G18230 // AT1G14685 // AT3G30530 // AT2G20100 // AT5G35550 // AT3G62670 // AT1G18710 // AT5G67060 // AT5G02460 // AT2G40260 // AT1G25470 // AT1G77840 // AT2G03340 // AT5G38800 // AT1G66470 // AT4G20400 // AT1G55110 // AT5G25160 // AT4G17710 // AT1G26610 // AT1G67890 // AT2G25820 // AT4G37180 // AT1G57560 // AT4G14410 // AT2G03500 // AT5G15310 // AT4G27950 // AT5G15480 // AT5G65230 // AT3G17100 // AT3G23130 // AT3G47500 // AT1G27360 // AT1G77200 // AT1G56650 // AT5G11590 // AT4G28800 // AT1G49560 // AT5G15030 // AT2G31070 // AT2G17180 // AT5G67180 // AT2G36490 // AT3G55370 // AT4G14770 // AT1G63650 // AT2G28810 
GO:0045449	P	regulation of transcription	104	1501	1802	37767	0.00018	0.073	// AT5G06650 // AT2G35700 // AT5G58080 // AT5G53200 // AT2G18550 // AT5G66320 // AT2G40620 // AT2G28200 // AT2G43410 // AT1G26590 // AT5G65590 // AT3G06490 // AT5G18450 // AT1G50420 // AT1G53320 // AT2G21320 // AT1G70920 // AT5G53430 // AT4G36740 // AT4G15900 // AT5G62470 // AT5G36740 // AT1G63210 // AT1G20910 // AT5G45600 // AT3G13810 // AT3G01530 // AT1G24190 // AT1G30330 // AT5G37020 // AT1G34650 // AT1G69180 // AT5G57520 // AT5G06250 // AT3G07650 // AT2G47460 // AT1G72570 // AT3G45610 // AT1G09540 // AT1G04370 // AT1G07640 // AT5G54630 // AT1G68200 // AT5G09460 // AT5G03790 // AT3G44350 // AT1G50640 // AT1G79430 // AT4G35700 // AT5G03415 // AT2G41900 // AT1G68360 // AT4G27240 // AT1G01250 // AT2G42830 // AT5G39230 // AT5G36670 // AT5G18230 // AT1G14685 // AT3G30530 // AT2G20100 // AT5G35550 // AT3G62670 // AT1G18710 // AT5G67060 // AT5G02460 // AT2G40260 // AT1G25470 // AT2G03340 // AT5G38800 // AT1G66470 // AT4G20400 // AT1G55110 // AT5G25160 // AT4G17710 // AT1G26610 // AT1G67890 // AT2G25820 // AT4G37180 // AT1G57560 // AT4G14410 // AT2G03500 // AT5G15310 // AT4G27950 // AT5G15480 // AT5G65230 // AT3G17100 // AT3G23130 // AT3G47500 // AT1G27360 // AT1G77200 // AT1G56650 // AT5G11590 // AT4G28800 // AT1G49560 // AT5G15030 // AT2G31070 // AT2G17180 // AT5G67180 // AT2G36490 // AT3G55370 // AT4G14770 // AT1G63650 // AT2G28810 
GO:0019219	P	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	106	1501	1847	37767	0.00019	0.073	// AT5G06650 // AT2G35700 // AT5G58080 // AT5G53200 // AT2G18550 // AT5G66320 // AT2G40620 // AT2G28200 // AT5G16450 // AT2G43410 // AT1G26590 // AT5G65590 // AT3G06490 // AT5G18450 // AT1G50420 // AT1G53320 // AT2G21320 // AT1G70920 // AT5G53430 // AT4G36740 // AT4G15900 // AT5G62470 // AT5G36740 // AT1G63210 // AT1G20910 // AT5G45600 // AT3G13810 // AT3G01530 // AT1G24190 // AT1G30330 // AT5G37020 // AT1G34650 // AT1G69180 // AT5G57520 // AT5G06250 // AT3G07650 // AT2G47460 // AT1G72570 // AT3G45610 // AT1G09540 // AT1G04370 // AT1G07640 // AT5G54630 // AT1G68200 // AT5G09460 // AT5G03790 // AT3G44350 // AT1G50640 // AT1G79430 // AT4G35700 // AT5G03415 // AT2G41900 // AT1G68360 // AT4G27240 // AT1G01250 // AT2G42830 // AT5G39230 // AT5G36670 // AT3G13226 // AT5G18230 // AT1G14685 // AT3G30530 // AT2G20100 // AT5G35550 // AT3G62670 // AT1G18710 // AT5G67060 // AT5G02460 // AT2G40260 // AT1G25470 // AT2G03340 // AT5G38800 // AT1G66470 // AT4G20400 // AT1G55110 // AT5G25160 // AT4G17710 // AT1G26610 // AT1G67890 // AT2G25820 // AT4G37180 // AT1G57560 // AT4G14410 // AT2G03500 // AT5G15310 // AT4G27950 // AT5G15480 // AT5G65230 // AT3G17100 // AT3G23130 // AT3G47500 // AT1G27360 // AT1G77200 // AT1G56650 // AT5G11590 // AT4G28800 // AT1G49560 // AT5G15030 // AT2G31070 // AT2G17180 // AT5G67180 // AT2G36490 // AT3G55370 // AT4G14770 // AT1G63650 // AT2G28810 
GO:0009886	P	post-embryonic morphogenesis	8	1501	35	37767	0.0002	0.073	// AT5G45710 // AT4G20910 // AT1G22920 // AT5G07280 // AT5G67060 // AT3G23130 // AT2G26330 // AT2G01500 
GO:0006350	P	transcription	109	1501	1923	37767	0.00024	0.073	// AT5G09920 // AT2G17730 // AT1G75510 // AT5G06650 // AT2G35700 // AT5G58080 // AT5G53200 // AT2G18550 // AT5G66320 // AT2G40620 // AT2G28200 // AT2G43410 // AT1G26590 // AT5G65590 // AT3G06490 // AT5G18450 // AT1G50420 // AT1G53320 // AT2G21320 // AT1G70920 // AT5G53430 // AT2G24120 // AT4G36740 // AT4G15900 // AT5G62470 // AT5G36740 // AT1G63210 // AT1G20910 // AT5G45600 // AT3G13810 // AT3G01530 // AT1G24190 // AT1G30330 // AT5G37020 // AT1G34650 // AT1G69180 // AT5G57520 // AT5G06250 // AT3G07650 // AT2G47460 // AT1G72570 // AT3G45610 // AT1G09540 // AT1G04370 // AT1G07640 // AT5G54630 // AT1G68200 // AT5G09460 // AT5G03790 // AT3G44350 // AT1G50640 // AT1G79430 // AT4G35700 // AT5G03415 // AT2G41900 // AT1G68360 // AT4G27240 // AT1G01250 // AT2G42830 // AT5G39230 // AT5G36670 // AT1G03280 // AT5G18230 // AT1G14685 // AT3G30530 // AT2G20100 // AT5G35550 // AT3G62670 // AT1G18710 // AT5G67060 // AT5G02460 // AT2G40260 // AT1G25470 // AT2G03340 // AT5G38800 // AT1G66470 // AT4G20400 // AT1G55110 // AT5G25160 // AT4G17710 // AT1G26610 // AT1G67890 // AT2G25820 // AT4G37180 // AT1G57560 // AT4G14410 // AT2G03500 // AT5G15310 // AT4G27950 // AT5G15480 // AT5G65230 // AT3G17100 // AT3G23130 // AT3G47500 // AT1G27360 // AT1G77200 // AT1G56650 // AT5G11590 // AT4G28800 // AT1G49560 // AT5G15030 // AT2G31070 // AT2G17180 // AT5G67180 // AT2G36490 // AT3G55370 // AT4G14770 // AT1G63650 // AT2G28810 
GO:0080090	P	regulation of primary metabolic process	110	1501	1952	37767	0.00028	0.073	// AT5G06650 // AT2G35700 // AT5G58080 // AT5G53200 // AT2G18550 // AT5G66320 // AT2G40620 // AT2G28200 // AT5G16450 // AT2G43410 // AT1G26590 // AT5G65590 // AT3G06490 // AT5G18450 // AT1G50420 // AT1G53320 // AT2G21320 // AT1G70920 // AT5G53430 // AT4G36740 // AT4G15900 // AT5G62470 // AT5G36740 // AT1G63210 // AT1G20910 // AT5G45600 // AT3G13810 // AT3G01530 // AT1G24190 // AT1G30330 // AT5G37020 // AT1G34650 // AT1G69180 // AT5G57520 // AT5G06250 // AT3G07650 // AT1G09530 // AT2G47460 // AT1G72570 // AT3G45610 // AT1G09540 // AT1G04370 // AT1G07640 // AT5G54630 // AT1G68200 // AT5G09460 // AT5G03790 // AT3G44350 // AT1G50640 // AT1G79430 // AT4G35700 // AT5G03415 // AT2G32790 // AT2G41900 // AT1G68360 // AT4G27240 // AT1G01250 // AT2G42830 // AT5G39230 // AT5G36670 // AT3G13226 // AT5G18230 // AT1G14685 // AT3G30530 // AT2G20100 // AT5G35550 // AT3G62670 // AT1G18710 // AT5G67060 // AT5G02460 // AT2G40260 // AT1G25470 // AT1G77840 // AT2G03340 // AT3G51910 // AT5G38800 // AT1G66470 // AT4G20400 // AT1G55110 // AT5G25160 // AT4G17710 // AT1G26610 // AT1G67890 // AT2G25820 // AT4G37180 // AT1G57560 // AT4G14410 // AT2G03500 // AT5G15310 // AT4G27950 // AT5G15480 // AT5G65230 // AT3G17100 // AT3G23130 // AT3G47500 // AT1G27360 // AT1G77200 // AT1G56650 // AT5G11590 // AT4G28800 // AT1G49560 // AT5G15030 // AT2G31070 // AT2G17180 // AT5G67180 // AT2G36490 // AT3G55370 // AT4G14770 // AT1G63650 // AT2G28810 
GO:0051171	P	regulation of nitrogen compound metabolic process	106	1501	1888	37767	0.00041	0.096	// AT5G06650 // AT2G35700 // AT5G58080 // AT5G53200 // AT2G18550 // AT5G66320 // AT2G40620 // AT2G28200 // AT5G16450 // AT2G43410 // AT1G26590 // AT5G65590 // AT3G06490 // AT5G18450 // AT1G50420 // AT1G53320 // AT2G21320 // AT1G70920 // AT5G53430 // AT4G36740 // AT4G15900 // AT5G62470 // AT5G36740 // AT1G63210 // AT1G20910 // AT5G45600 // AT3G13810 // AT3G01530 // AT1G24190 // AT1G30330 // AT5G37020 // AT1G34650 // AT1G69180 // AT5G57520 // AT5G06250 // AT3G07650 // AT2G47460 // AT1G72570 // AT3G45610 // AT1G09540 // AT1G04370 // AT1G07640 // AT5G54630 // AT1G68200 // AT5G09460 // AT5G03790 // AT3G44350 // AT1G50640 // AT1G79430 // AT4G35700 // AT5G03415 // AT2G41900 // AT1G68360 // AT4G27240 // AT1G01250 // AT2G42830 // AT5G39230 // AT5G36670 // AT3G13226 // AT5G18230 // AT1G14685 // AT3G30530 // AT2G20100 // AT5G35550 // AT3G62670 // AT1G18710 // AT5G67060 // AT5G02460 // AT2G40260 // AT1G25470 // AT2G03340 // AT5G38800 // AT1G66470 // AT4G20400 // AT1G55110 // AT5G25160 // AT4G17710 // AT1G26610 // AT1G67890 // AT2G25820 // AT4G37180 // AT1G57560 // AT4G14410 // AT2G03500 // AT5G15310 // AT4G27950 // AT5G15480 // AT5G65230 // AT3G17100 // AT3G23130 // AT3G47500 // AT1G27360 // AT1G77200 // AT1G56650 // AT5G11590 // AT4G28800 // AT1G49560 // AT5G15030 // AT2G31070 // AT2G17180 // AT5G67180 // AT2G36490 // AT3G55370 // AT4G14770 // AT1G63650 // AT2G28810 
